feature,value,importance,min,max,rule,importance_ratio
la,1200,0.2212573090487908,0.0,8851.0,la > 127.55870158356693,0.6171423680094245
nuc,24.2051282051282,-0.04535669191013441,0.0,2540.0,16.979309426715872 < nuc <= 47.171255295131715,0.1265112387510854
asexp,0.227547918446589,0.029098624415604634,0.0,3637.0,-0.6613834552044295 < asexp <= -0.6613834552044295,0.08116339322242716
ent,2.81416509167211,0.027201301937903363,0.0,6.25828457562083,2.005709603206336 < ent <= 3.1894578523081085,0.0758712829106821
ld,1252,0.012854571899401045,0.0,9293.0,ld > 956.0803284937488,0.0358546389985896
