,nuc,aexp,ns,age,asexp,la
1918,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1912,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1933,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1921,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1937,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1920,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1935,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1923,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1942,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1951,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1956,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1973,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1988,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1993,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1958,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1962,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1978,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1980,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
1997,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2002,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2003,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2005,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2023,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2033,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2015,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2022,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2031,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2037,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2040,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2024,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2041,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2042,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2049,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2057,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2045,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2046,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2048,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2063,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2066,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2060,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2067,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2069,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2077,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2087,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2076,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2096,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2097,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2070,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2071,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2089,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2101,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2108,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2138,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2145,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2106,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2193,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2153,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2171,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2198,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2199,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2203,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2189,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2220,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2217,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2234,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2241,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2222,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2228,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2250,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2259,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2242,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2263,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2266,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2247,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2274,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2281,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2272,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2271,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2301,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2296,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2291,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2341,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
2363,8.72727272727273,0,1,1.125,0.21337499999999998,156.5
