,nuc,arexp,ent,ndev,age,asexp,la,ld
6384,600.0,8.0,0.5032583347756461,53.0,66.5,0.609375,5,0.0
5654,0.0,80.5,0.0,0.0,0.0,14.0,1353,36.0
6174,88.9090909090909,236.083333333334,2.2343848728060003,7.545454545454548,142.333333333333,1.0,6.0,40
6352,13.75,6.0,1.84582092255436,5.0,2.7,0.037037037037037,69,28
6312,74.2352941176471,124.083333333333,2.5288497160266403,4.17647058823529,0.0869565217391304,1.71232806411219,32.0,87
5671,18.0,120.666666666666,0.266764987803026,5.0,30.59032258064515,2.0,2.0,29
5537,28.92006269592475,23.0,0.0,11.0,88.0,11.0,43,0.0
5597,0.9226190476190481,112.75,1.90950630680178,2.25,134.083333333333,1.06044007462333,6.0,172
5799,52.6,66.0,1.7774865779235198,11.6,65.6,42.0,7.0,0.0
6051,17.266666666666698,42.5,3.3490249894670496,2.2,2.48,0.179696949988177,968,8.0
6470,49.408333333333346,121.35,1.97051578041269,5.5,40.875,182.0,7.0,179
5482,13.85357142857145,123.666666666667,1.21621279890753,1.75,40.5,0.999992349867478,33.0,23
5602,296.0,114.75,1.3351533568257,24.16666666666665,13.5,0.0626289227762466,15.0,20
5498,19.3333333333333,316.0,1.8562953292460096,3.6666666666666696,4.66666666666667,0.463109525498002,23.5,154
5507,25.614066193853404,21.0,0.0,8.0,0.1875,3.0,172,197
5663,47.95,23.0,1.5683865354876798,14.4,14.8,0.17969694997327,64.5,12
5665,22.5714285714286,56.50000000000011,2.2692791128359304,4.85714285714286,41.8571428571429,0.2797913253510349,58.5,0.0
5495,42.4444444444444,21.0,2.76340846085752,7.66666666666667,57.2083333333333,78.0,334,58
5673,51.5,57.00000000000011,2.79562008801665,5.25,4.118055555555555,0.5464617156882651,3484,1532.5
5696,107.333333333333,78.5,2.24058351244584,8.375,44.5,0.116790767843149,32.0,382
5815,37.690476190476204,51.5,1.27664987675785,7.66666666666667,4.66666666666667,0.0025190421861139,48,0.0
5804,16.0833333333333,53.25000000000011,2.47530041594027,3.75,43.1666666666667,63.0,34.0,136
