feature,value,importance,min,max,rule,importance_ratio
ns,1.0,0.25759823988345737,1.0,7.0,ns <= 0.9980987888882713,0.48025371267071204
aexp,620.0,0.11513897099826617,0.0,726.0,aexp > 226.40710940239893,0.21465953463043752
la,115.0,0.07073978720078726,0.0,9176.0,111.10678894782669 < la <= 290.39248795527845,0.13188384148930632
age,198.125,0.03846382896943709,0.0,511.03030303030295,age > 39.92366664604885,0.07171010436430286
ld,14.0,0.02801793431206001,0.0,8304.0,5.360890071663704 < ld <= 22.596480029645306,0.05223528305480111
