feature,value,importance,min,max,rule,importance_ratio
la,302,0.27444160795151656,0.0,9094.0,295.36187796957415 < la <= 471.1648215786653,0.44022590747344303
nd,11,0.18685659193998855,1.0,46.0,6.501361706446655 < nd <= 43.480788426363866,0.2997326584994662
ld,453,0.04177073867443398,0.0,9176.0,ld > 326.31207862573433,0.06700354758902777
nuc,131.421052631579,0.04149460758278789,0.0,480.0,98.64471611143635 < nuc <= 253.39785732459083,0.066560611616932
age,20.3157894736842,0.038193053070969804,0.0,575.0,7.346025962989069 < age <= 349.3395012011218,0.061264658711369206
