feature,value,importance,min,max,rule,importance_ratio
nd,4.0,0.08771579210251677,1.0,33.0,3.4887902283506924 < nd <= 4.503916092667653,0.30577651624019103
la,155.0,0.07751856400950353,0.0,9389.0,77.73891199130318 < la <= 259.02565808320827,0.2702290645573289
age,24.4,0.055072913384890565,0.0,1019.0,21.355116215938807 < age <= 151.08747456179282,0.19198371456701974
nuc,66.5,-0.03870867649876968,0.0,1520.0,48.480082529455615 < nuc <= 193.0959914371757,0.13493812190886822
ndev,8.4,0.01804674526423802,0.0,67.0,3.000808789151475 < ndev <= 10.846402884905007,0.06291080276540688
