score_explainer,score_cf,diff_explainer_minus_cf
1.4987715622498285,0.3108042560629711,1.1879673061868574
4.496314686749485,0.0045048035571507855,4.491809883192334
2.2158762709248414,0.06456449875206427,2.151311772172777
1.4987715622498285,0.022522776795996652,1.476248785453832
2.454911173816513,0.2177065574994681,2.2372046163170447
3.172015882491526,0.0015013234216408877,3.1705145590698853
1.4987715622498285,0.019517932538200944,1.4792536297116277
1.6248827296676631,0.09458777397183774,1.5302949556958254
5.995086248999313,0.1486618076016807,5.846424441397633
6.234121151890984,0.02252680115360868,6.211594350737376
4.606225299841552,0.5330357908094426,4.073189509032109
3.650085688274868,0.23878805337306008,3.411297634901808
4.496314686749485,0.2387118325481681,4.257602854201316
5.995086248999313,16.61839893035723,-10.623312681357916
5.562364911408236,0.28981919729938793,5.272545714108848
4.606225299841552,0.39787709718560615,4.208348202655945
1.4987715622498285,0.019520229460979255,1.4792513327888492
4.496314686749485,0.27475611445374487,4.22155857229574
11.428326870607945,0.5539883425854875,10.874338528022458
3.411050785383197,0.004504108431073878,3.4065466769521233
5.995086248999313,0.4911141234266586,5.503972125572655
4.606225299841552,0.034533734640539604,4.571691565201013
4.496314686749485,0.5841155484602851,3.9121991382892
5.163803316976291,5.343311954082617,-0.17950863710632614
4.606225299841552,0.061559753286646146,4.5446655465549055
3.650085688274868,0.4158937113133738,3.234191976961494
1.8594914988452567,0.07057539604250723,1.7889161028027494
2.997543124499656,0.04354487375258015,2.953998250747076
0.16201528282378042,0.02237800684965921,0.1396372759741212
0.4580905091836883,0.1327980598655078,0.3252924493181805
0.06697424209534775,0.17157248729904034,-0.1045982452036926
0.7638935569462575,0.9801695174103008,-0.2162759604640433
0.7794064316007598,0.016410996476215106,0.7629954351245447
0.13256803258674113,0.1298078180413784,0.002760214545362738
0.09987581287309122,0.007460603271026128,0.09241520960206509
0.04321234841715224,0.0014922021767656002,0.04172014624038664
0.0002491800145671963,0.0910184448051079,-0.0907692647905407
0.6568290244561259,0.3715146719582706,0.2853143524978553
0.2293485631754063,0.04624713104271061,0.1831014321326957
0.4046200142092852,0.07609855855862355,0.3285214556506616
0.344725604211201,0.007460671562176169,0.33726493264902485
0.035567033133028114,0.09400831138359504,-0.05844127825056693
1.1795336115364934,0.0820528184052578,1.0974807931312356
0.27645284844308216,0.03729898717727688,0.2391538612658053
0.510892953144764,0.5714122966420843,-0.060519343497320244
1.0640334475189077,0.12979179238483007,0.9342416551340776
0.33120203302451845,0.025367157438119875,0.30583487558639855
0.19460112376652844,0.007461010883828084,0.18714011288270035
0.012933466593828408,0.6311020098957196,-0.6181685433018912
0.8955625451053368,0.5624918035787649,0.3330707415265719
