feature,value,importance,min,max,rule,importance_ratio
la,1502,0.3147093279970535,0.0,9967.0,la > 365.51333961421346,0.5212999991793927
ld,0,-0.10049490732320714,0.0,8658.0,ld <= 3.6358532634641847,0.16646470391755128
ndev,0.0,0.04961658818927869,0.0,85.0,ndev <= 0.9878832845357923,0.08218735538273406
nuc,0.0,-0.04812670067368707,0.0,976.0,nuc <= 7.563736823056175,0.07971943247241418
asexp,21.0,-0.035203492529362716,0.0,1122.0,1.5309165943878895 < asexp <= 44.338771519437486,0.05831279531326877
