feature,value,importance,min,max,rule,importance_ratio
la,751,0.28004596282476873,0.0,9967.0,229.98350223552893 < la <= 1199.5431080984263,0.5792400286234999
ld,49,-0.08329070291725531,0.0,8658.0,35.06259046661786 < ld <= 6168.514134615445,0.1722763958288183
asexp,1.0,0.04034601201318415,0.0,1122.0,1.5309165943878895 < asexp <= 1.5309165943878895,0.08345067687329606
nuc,181.75,0.02661036109667218,0.0,976.0,12.104132594966572 < nuc <= 255.46934596936424,0.05504020185773156
age,91.5,0.022790321301118164,0.0,1802.57575757576,11.310905131690312 < age <= 252.15332398535617,0.04713892758760696
