feature,value,importance,min,max,rule,importance_ratio
la,412.0,0.18639096744293507,0.0,9094.0,295.36187796957415 < la <= 471.1648215786653,0.48600471956384633
nd,21.0,0.06852692004512052,1.0,46.0,6.501361706446655 < nd <= 43.480788426363866,0.17868036748776092
age,28.92,0.04668036030962387,0.0,575.0,7.346025962989069 < age <= 349.3395012011218,0.12171660318445314
ns,1.0,-0.0397076268692402,1.0,8.0,ns <= 1.4995095840290027,0.10353556465679692
ld,258.0,-0.017237004904478936,0.0,9176.0,106.9077758780692 < ld <= 326.31207862573433,0.04494459066149055
