,score,project,explainer,model
5871,0.0,apache_activemq,CfExplainer,XGB
5863,0.0,apache_activemq,CfExplainer,XGB
4923,0.0,apache_activemq,CfExplainer,XGB
5269,0.0,apache_activemq,CfExplainer,XGB
18896,0.0,apache_camel,CfExplainer,XGB
18803,0.0,apache_camel,CfExplainer,XGB
18376,0.0,apache_camel,CfExplainer,XGB
6555,0.0,apache_cassandra,CfExplainer,XGB
6580,0.0,apache_cassandra,CfExplainer,XGB
6757,0.0,apache_cassandra,CfExplainer,XGB
6887,0.0,apache_cassandra,CfExplainer,XGB
7051,0.0,apache_cassandra,CfExplainer,XGB
7223,0.0,apache_cassandra,CfExplainer,XGB
7413,0.0,apache_cassandra,CfExplainer,XGB
7536,0.0,apache_cassandra,CfExplainer,XGB
7617,0.0,apache_cassandra,CfExplainer,XGB
7671,0.0,apache_cassandra,CfExplainer,XGB
7783,0.0,apache_cassandra,CfExplainer,XGB
7833,0.0,apache_cassandra,CfExplainer,XGB
8111,0.0,apache_cassandra,CfExplainer,XGB
6601,0.0,apache_cassandra,CfExplainer,XGB
9384,0.0,apache_flink,CfExplainer,XGB
9393,0.0,apache_flink,CfExplainer,XGB
9438,0.0,apache_flink,CfExplainer,XGB
9465,0.0,apache_flink,CfExplainer,XGB
9473,0.0,apache_flink,CfExplainer,XGB
9533,0.0,apache_flink,CfExplainer,XGB
9450,0.0,apache_flink,CfExplainer,XGB
9563,0.0,apache_flink,CfExplainer,XGB
9536,0.0,apache_flink,CfExplainer,XGB
9873,0.0,apache_flink,CfExplainer,XGB
9824,0.0,apache_flink,CfExplainer,XGB
9938,0.0,apache_flink,CfExplainer,XGB
9982,0.0,apache_flink,CfExplainer,XGB
10027,0.0,apache_flink,CfExplainer,XGB
10018,0.0,apache_flink,CfExplainer,XGB
10494,0.0,apache_flink,CfExplainer,XGB
10783,0.0,apache_flink,CfExplainer,XGB
11037,0.0,apache_flink,CfExplainer,XGB
11276,0.0,apache_flink,CfExplainer,XGB
11304,0.0,apache_flink,CfExplainer,XGB
11617,0.0,apache_flink,CfExplainer,XGB
11249,0.0,apache_flink,CfExplainer,XGB
11616,0.0,apache_flink,CfExplainer,XGB
10163,0.0,apache_flink,CfExplainer,XGB
7013,0.0,apache_groovy,CfExplainer,XGB
6699,0.0,apache_groovy,CfExplainer,XGB
6672,0.0,apache_groovy,CfExplainer,XGB
6636,0.0,apache_groovy,CfExplainer,XGB
7220,0.0,apache_groovy,CfExplainer,XGB
7639,0.0,apache_groovy,CfExplainer,XGB
6576,0.0,apache_groovy,CfExplainer,XGB
6746,0.0,apache_groovy,CfExplainer,XGB
2391,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2405,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2399,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2415,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2406,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2433,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2436,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2441,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2470,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2467,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2497,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2505,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2529,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2523,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2535,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2564,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2578,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2583,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2606,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2620,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2613,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2651,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2664,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2665,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2674,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2690,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2694,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2693,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2703,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2704,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2707,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2718,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2721,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2751,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2767,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2800,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2808,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2812,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2821,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2815,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2843,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2833,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2857,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2865,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2868,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2866,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2879,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2882,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2900,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2898,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2897,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2896,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2892,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2383,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2726,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2596,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2638,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2404,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2747,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2685,0.0,apache_hadoop-hdfs,CfExplainer,XGB
2720,0.0,apache_hadoop-hdfs,CfExplainer,XGB
1070,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1065,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1082,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1097,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1101,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1110,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1118,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1115,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1120,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1121,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1139,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1141,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1129,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1154,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1160,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1176,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1165,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1178,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1157,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1189,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1172,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1185,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1203,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1212,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1209,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1228,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1232,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1201,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1241,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1244,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1270,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1283,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1291,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1299,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1307,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1319,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1179,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1223,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1221,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
1146,0.0,apache_hadoop-mapreduce,CfExplainer,XGB
7202,0.0,apache_hbase,CfExplainer,XGB
7248,0.0,apache_hbase,CfExplainer,XGB
7355,0.0,apache_hbase,CfExplainer,XGB
7685,0.0,apache_hbase,CfExplainer,XGB
7768,0.0,apache_hbase,CfExplainer,XGB
7840,0.0,apache_hbase,CfExplainer,XGB
7870,0.0,apache_hbase,CfExplainer,XGB
8022,0.0,apache_hbase,CfExplainer,XGB
8062,0.0,apache_hbase,CfExplainer,XGB
8161,0.0,apache_hbase,CfExplainer,XGB
8183,0.0,apache_hbase,CfExplainer,XGB
8432,0.0,apache_hbase,CfExplainer,XGB
8407,0.0,apache_hbase,CfExplainer,XGB
8345,0.0,apache_hbase,CfExplainer,XGB
8605,0.0,apache_hbase,CfExplainer,XGB
5530,0.0,apache_hive,CfExplainer,XGB
5799,0.0,apache_hive,CfExplainer,XGB
5911,0.0,apache_hive,CfExplainer,XGB
5899,0.0,apache_hive,CfExplainer,XGB
5968,0.0,apache_hive,CfExplainer,XGB
9631,0.0,apache_ignite,CfExplainer,XGB
9904,0.0,apache_ignite,CfExplainer,XGB
10107,0.0,apache_ignite,CfExplainer,XGB
10228,0.0,apache_ignite,CfExplainer,XGB
10692,0.0,apache_ignite,CfExplainer,XGB
10896,0.0,apache_ignite,CfExplainer,XGB
10859,0.0,apache_ignite,CfExplainer,XGB
10952,0.0,apache_ignite,CfExplainer,XGB
11067,0.0,apache_ignite,CfExplainer,XGB
11112,0.0,apache_ignite,CfExplainer,XGB
11849,0.0,apache_ignite,CfExplainer,XGB
11879,0.0,apache_ignite,CfExplainer,XGB
11913,0.0,apache_ignite,CfExplainer,XGB
9894,0.0,apache_ignite,CfExplainer,XGB
12000,0.0,apache_ignite,CfExplainer,XGB
11221,0.0,apache_ignite,CfExplainer,XGB
1993,0.0,apache_kafka,CfExplainer,XGB
1912,0.0,apache_kafka,CfExplainer,XGB
1362,0.0,apache_spark,CfExplainer,XGB
1425,0.0,apache_spark,CfExplainer,XGB
1231,0.0,apache_zeppelin,CfExplainer,XGB
1235,0.0,apache_zeppelin,CfExplainer,XGB
1303,0.0,apache_zeppelin,CfExplainer,XGB
1411,0.0,apache_zeppelin,CfExplainer,XGB
1386,0.0,apache_zeppelin,CfExplainer,XGB
749,0.0,apache_zookeeper,CfExplainer,XGB
4923,0.0,apache_activemq,PyExplainer,XGB
4971,0.0,apache_activemq,PyExplainer,XGB
4974,0.0,apache_activemq,PyExplainer,XGB
4987,0.0,apache_activemq,PyExplainer,XGB
4993,0.0,apache_activemq,PyExplainer,XGB
