feature,value,importance,min,max,rule,importance_ratio
ns,1,0.26886783414769194,1.0,7.0,ns <= 0.9980987888882713,0.5495175169546679
aexp,16,-0.05982829258450018,0.0,726.0,aexp <= 32.545342794721094,0.1222782743383591
la,210,0.05829544932583229,0.0,9176.0,111.10678894782669 < la <= 290.39248795527845,0.11914541828641059
nuc,47.1428571428571,-0.033915781079783366,0.0,2086.0,37.777231181449764 < nuc <= 129.9334674584228,0.069317759276117
nd,5,0.03307290849352466,1.0,40.0,2.991412520727787 < nd <= 4.9991959831983275,0.06759507923825267
