feature,value,importance,min,max,rule,importance_ratio
la,139,0.14668379864283046,0.0,9176.0,la > 135.835850879889,0.34933454146934156
aexp,308,0.09485731726730119,0.0,726.0,289.08422191465564 < aexp <= 315.32115273373984,0.22590727632621319
age,119.333333333333,0.07885588330051434,0.0,511.03030303030295,84.25039107908812 < age <= 379.6012832253171,0.1877990895369515
nuc,133.666666666667,0.06964756801801518,0.0,2086.0,113.47699669467761 < nuc <= 1752.541484763698,0.16586904254689694
ld,10,-0.024935175145802055,0.0,8304.0,1.9137720800673748 < ld <= 15.702244046452648,0.05938432230833313
