feature,value,importance,min,max,rule,importance_ratio
la,639.0,0.47652040789984623,0.0,9094.0,la > 74.67307641773633,0.6974232950168165
nd,11.0,0.05845323068845505,1.0,46.0,nd > 3.015760271308197,0.0855506796252232
ns,1.0,-0.04156868611258373,1.0,8.0,ns <= 0.9993157487467661,0.060838884458126234
arexp,909.916666666693,0.03847527700822024,0.0,2143.5,arexp > 803.8212648233128,0.056311448624037794
age,1.1568627450980402,-0.031435188090061614,0.0,575.0,0.035001551722574575 < age <= 1.6596736431151289,0.04600775138648838
