rule,type,coef,support,importance,Class
la > 0.1999999973922968 & nuc > -0.38499999046325684,rule,5.927574106974105e-23,0.7244094488188977,2.648507500346602e-23,Defect
la > 0.800000011920929 & nuc > -0.3850000128149986,rule,5.885477416059896e-23,0.7270341207349081,2.6218828092934545e-23,Defect
nuc > -0.6850000023841858 & la > 0.75,rule,5.872581077833634e-23,0.7427821522309711,2.566907987416515e-23,Defect
nuc > -0.5350000113248825 & la > 0.800000011920929,rule,5.892665537224161e-23,0.7506561679790026,2.5493627459365852e-23,Defect
nuc > -0.5299999713897705 & la > -0.15000000596046448,rule,5.962835800971956e-23,0.7611548556430446,2.5424216010126192e-23,Defect
