feature,value,importance,min,max,rule,importance_ratio
la,100,0.43686697752801334,0.0,8851.0,la > 67.23063501824093,0.724522097385967
ld,30,0.06707166923564307,0.0,9293.0,6.605575463515187 < ld <= 34.44034021032985,0.11123501882599925
age,91.7333333333333,-0.02833468853260535,0.0,918.0,age > 21.801583189788694,0.0469916679914424
asexp,0.634765625,0.023250601326018073,0.0,3637.0,-0.6613834552044295 < asexp <= -0.6613834552044295,0.03855996288282367
nuc,92.0,0.02266714684757052,0.0,2540.0,73.0500660394882 < nuc <= 336.15130860711224,0.0375923327249069
