,nuc,aexp,nd,ns,age,asexp,la,ld
10217,6.48571428571429,174.5,11,1.0,11.0571428571429,0.2322067492728804,623.0,3406.0
9582,26.2727272727273,0,14.0,5.0,8.42424242424242,0.8528025673134925,623.0,1
9909,1.3,0,14,2.5,9.82608695652174,0.8528025673134925,623.0,39
9982,1.3,0,5.0,1,5.03571428571429,0.8528025673134925,623.0,785
9911,1.47826086956522,0,5.0,1.0,4.73913043478261,0.8528025673134925,623.0,149
9616,3.76,174.5,14.0,1.0,11.84,0.2322067492728804,623.0,911
9753,4.2222222222222205,0,2,2,0.166666666666667,0.8528025673134925,623.0,3406.0
9872,1.9736842105263148,0,11,1,3.845238095238095,0.8528025673134925,623.0,0
10257,30.490000000000002,0,3,2.5,86.5,0.8528025673134925,623.0,2480
9358,0.0,174.5,3.0,1,0.0,0.2322067492728804,623.0,0
9630,1.23529411764706,71.0,5,1.0,6.47058823529412,0.2322067492728804,623.0,107.0
9808,0.0,174.5,2.0,1,0.0,641.0,623.0,0
10163,3.38461538461538,0,5,2.5,3.845238095238095,0.8528025673134925,623.0,215
9465,2.136666666666665,174.5,6,1,2.54545454545455,0.2322067492728804,623.0,0.0
10064,2.68965517241379,106.0,15,1.0,6.67741935483871,0.8528025673134925,623.0,389
10029,25.722826086956502,1335,7.5,1.0,99.7647058823529,0.8528025673134925,623.0,373
9812,25.722826086956502,0,5,2,0.166666666666667,0.8528025673134925,429.0,2
10788,0.0,174.5,1,1,2.9107142857142847,641.0,623.0,0
10250,30.490000000000002,174.5,2.0,2.5,7.2,0.0,623.0,26
10783,17.304347826087,174.5,5,1.0,125.695652173913,0.2322067492728804,623.0,107.0
9950,30.490000000000002,71.0,8,3.0,6.28571428571429,0.2322067492728804,623.0,15
9376,0.927710843373494,174.5,8,2.0,0.482758620689655,0.5123625096688621,623.0,3406.0
9498,21.12,174.5,12,3.0,106.96,0.2322067492728804,623.0,3406.0
10380,4.56,174.5,16.0,2.0,15.6,0.8528025673134925,623.0,13
11301,12.1,106.0,5,3.0,68.6,0.8528025673134925,623.0,51.5
