feature,value,importance,min,max,rule,importance_ratio
la,219,0.1637600449870466,0.0,9176.0,la > 135.835850879889,0.43640960133319157
aexp,389,0.08787989919333469,0.0,726.0,315.32115273373984 < aexp <= 398.4047669941732,0.23419407203507953
nuc,39.6315789473684,-0.06531857627116468,0.0,2086.0,11.446877959457481 < nuc <= 113.47699669467761,0.174069650703903
ld,42,0.03071635430764301,0.0,8304.0,29.490716012837936 < ld <= 4621.051880819136,0.0818570362439011
ns,1,0.01009618607751114,1.0,7.0,ns <= 1.4973267047410423,0.02690566274222064
