feature,value,importance,min,max,rule,importance_ratio
la,857,0.4029241653444292,0.0,9389.0,la > 165.45830526157982,0.6615587638385307
nd,7,0.0910465280399193,1.0,33.0,nd > 2.994241730350122,0.14948874682259589
nuc,78.0625,-0.03633181081790011,0.0,1520.0,25.645991649289286 < nuc <= 91.61114308088091,0.05965298167748048
aexp,113,0.034202895231778885,0.0,4144.0,42.214174597947476 < aexp <= 161.58869275881693,0.056157527980214644
age,20.375,-0.026759462423442053,0.0,1019.0,11.6555006386787 < age <= 37.72321750256525,0.043936200418019176
