feature,value,importance,min,max,rule,importance_ratio
la,387,0.40637875554087166,0.0,9389.0,la > 165.45830526157982,0.6045895884749909
ndev,6.888888888888888,-0.10066368651941804,0.0,67.0,ndev > 5.759025463439826,0.14976229927705806
nuc,39.6666666666667,-0.06115937650419522,0.0,1520.0,25.645991649289286 < nuc <= 91.61114308088091,0.09098980143005904
aexp,179,-0.04220731250764188,0.0,4144.0,161.58869275881693 < aexp <= 639.0867654022946,0.06279388711072532
ld,219,-0.02860071230269388,0.0,9950.0,ld > 51.198360749368746,0.042550681218959996
