feature,value,importance,min,max,rule,importance_ratio
la,93,-0.07958287603164851,0.0,5443.0,55.63800412779079 < la <= 100.89045653715445,0.3743572030876413
ent,2.51368290965254,0.0724229422096674,0.0,6.1766722717358205,1.859443113064771 < ent <= 3.211235469649216,0.34067693248742414
age,4.83333333333333,-0.02109350433033967,0.0,719.0,4.711007645331282 < age <= 231.9953250592234,0.0992236732093312
asexp,0.0564141267677769,0.01940686581546532,0.0,601.0,0.2486852207514758 < asexp <= 1.223116260852592,0.09128973932137825
aexp,35,-0.011348167391880597,0.0,1586.0,25.247947355628696 < aexp <= 131.9212898998478,0.05338168732813001
