,nuc,arexp,ent,ns,age,asexp,la,ld
18376,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
18423,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
18896,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
18909,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
18915,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
20180,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
19184,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
19565,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
20570,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
19705,7.066964285714286,282.0,4.06193064206699,2,0.27303921568627454,261.5,872.0,69.0
