feature,value,importance,min,max,rule,importance_ratio
la,302,0.5018503993297316,0.0,5956.0,la > 240.6872025257447,0.7439499389904509
age,89.90476190476191,-0.0917070536120071,0.0,829.533333333333,age > 51.02144156465371,0.1359477984490362
asexp,1.15951012159542,0.058598219186879505,0.0,197.0,0.2755694489912699 < asexp <= 1.1438006319502207,0.08686680661657767
ns,2,0.008447242429429062,1.0,9.0,0.9967460807562987 < ns <= 1.9961447573160278,0.012522308437742814
aexp,372,0.007469614182130788,0.0,403.0,aexp > 121.97324428861822,0.011073058868739225
