,nuc,aexp,ndev,nd,age,asexp,la,ld
6986,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
6993,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
6995,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
6996,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7005,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7009,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7011,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7020,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7021,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7029,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7033,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7034,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7060,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7068,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7073,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7075,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7087,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7088,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7093,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7101,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7105,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7107,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7109,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7115,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7116,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7120,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7121,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7125,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7126,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7127,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7131,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7154,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7156,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7160,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7165,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7170,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7172,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7173,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7175,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7179,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7180,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7182,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7183,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7190,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7194,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7195,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7198,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7201,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7202,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7204,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7207,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7211,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7215,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7219,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7220,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7222,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7224,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7227,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7228,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7234,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7237,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7247,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7248,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7249,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7258,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7260,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7261,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7265,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7267,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7273,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
