,nuc,arexp,nd,ns,age,la,ld
6554,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6625,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6636,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6672,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6699,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6789,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6836,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6928,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
6984,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7014,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7097,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7153,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7162,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7192,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7389,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7575,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7639,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7963,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
7968,19.41365131578945,345.333333333331,2,2,13.55,82.5,21.5
