feature,value,importance,min,max,rule,importance_ratio
la,422.0,0.4662274455679516,0.0,9094.0,la > 74.67307641773633,0.7818249529970169
nuc,86.6666666666667,0.0389025482347077,0.0,480.0,nuc > 31.647929366717015,0.06523636314034116
ld,140.0,0.030996950031404468,0.0,9176.0,ld > 38.714546645686795,0.05197932732559735
arexp,306.5,-0.02719106971732268,0.0,2143.5,123.63689201458834 < arexp <= 385.2462661717901,0.04559718010120022
age,18.3333333333333,0.01576232150193059,0.0,575.0,age > 11.001538168622316,0.026432112447517097
