feature,value,importance,min,max,rule,importance_ratio
la,200,0.2431433696581205,0.0,5956.0,63.23108389406272 < la <= 240.6872025257447,0.6274557367861192
asexp,6.0,0.07741778877419671,0.0,197.0,1.1438006319502207 < asexp <= 25.020158163321305,0.19978433203409127
aexp,15,0.043688469926720944,0.0,403.0,6.128482956425856 < aexp <= 38.150612105161954,0.11274245777490555
age,32.25,0.019151182403876563,0.0,829.533333333333,20.943986567109736 < age <= 51.02144156465371,0.049421537928202364
ns,1,-0.002705705273687329,1.0,9.0,ns <= 0.9967460807562987,0.0069823425512885295
