feature,value,importance,min,max,rule,importance_ratio
la,2981,0.216932638546475,0.0,9886.0,la > 658.2665061764585,0.6407683295637823
age,11.0571428571429,0.047712692014896356,0.0,1520.0,4.1005163349584635 < age <= 191.44947579329659,0.1409321444952901
nd,11,0.023033156047731006,1.0,51.0,5.4934450612931585 < nd <= 14.503678360627504,0.0680345614388709
aexp,30,-0.02007457349550016,0.0,1411.0,2.7519982932250286 < aexp <= 111.43266686158816,0.0592955998304573
asexp,0.9999999916180968,0.018340220672363124,0.0,1042.0,0.24155171339806714 < asexp <= 14.706492054882105,0.0541727268095879
