feature,value,importance,min,max,rule,importance_ratio
la,3713.0,0.1921493730773578,0.0,9967.0,la > 365.51333961421346,0.5573932521529735
age,11.375,0.0407338310528454,0.0,1802.57575757576,5.603738808143731 < age <= 22.72523777878348,0.11816204341220787
nuc,3.6875,-0.03884501780949462,0.0,976.0,nuc <= 7.563736823056175,0.11268291152871719
arexp,48.0,-0.02254758854092354,0.0,863.416666666674,29.06684573493311 < arexp <= 89.32970282086927,0.0654067900600059
ld,429.0,-0.01761189805088449,0.0,8658.0,ld > 66.48932766977154,0.05108917595696227
