feature,value,importance,min,max,rule,importance_ratio
la,418,0.4641635273456217,0.0,5956.0,la > 240.6872025257447,0.6711083194867771
age,55.4,-0.09109708428852005,0.0,829.533333333333,age > 51.02144156465371,0.13171222542328573
asexp,66.0,-0.04280832928746917,0.0,197.0,asexp > 25.020158163321305,0.06189419080908966
aexp,82,0.03414594473670888,0.0,403.0,38.150612105161954 < aexp <= 121.97324428861822,0.04936972907067255
ns,1,-0.03167993614076581,1.0,9.0,ns <= 0.9967460807562987,0.04580426391203031
