rule,type,coef,support,importance,Class
nuc > -0.37499999068677425 & la > 391.5799865722656 & ld > 1.6200000047683716,rule,0.6941842804278381,0.7893333333333333,0.283075907608317,Defect
nuc > 2.3899999856948853 & ent <= 3.1850000619888306 & ld > 0.7750000059604645,rule,0.49917629182359363,0.528,0.24919648439526285,Defect
ld > -6.875 & nuc > -0.949999988079071,rule,0.5608531870609903,0.8026666666666666,0.2232117395415284,Defect
ndev > -0.2549999952316284 & ent > 2.3149999380111694 & ndev > 0.5649999976158142,rule,0.4320662761854124,0.488,0.21597091158702797,Defect
ndev > 0.5049999952316284 & asexp > 0.33500000834465027 & ent <= 3.2899999618530273,rule,0.3742354856762327,0.4693333333333333,0.1867654635434368,Defect
