,score,project,explainer,model
5257,0.0,apache_activemq,LIME,LGBM
5060,0.0,apache_activemq,LIME,LGBM
5171,0.0,apache_activemq,LIME,LGBM
5039,0.0,apache_activemq,LIME,LGBM
5871,0.0,apache_activemq,LIME,LGBM
5390,0.0,apache_activemq,LIME,LGBM
5863,0.0,apache_activemq,LIME,LGBM
4908,0.0,apache_activemq,LIME,LGBM
4974,0.0,apache_activemq,LIME,LGBM
5014,0.0,apache_activemq,LIME,LGBM
5008,0.0,apache_activemq,LIME,LGBM
5057,0.0,apache_activemq,LIME,LGBM
5386,0.0,apache_activemq,LIME,LGBM
5478,0.0,apache_activemq,LIME,LGBM
5481,0.0,apache_activemq,LIME,LGBM
5790,0.0,apache_activemq,LIME,LGBM
5729,0.0,apache_activemq,LIME,LGBM
5918,0.0,apache_activemq,LIME,LGBM
4905,0.0,apache_activemq,LIME,LGBM
4923,0.0,apache_activemq,LIME,LGBM
4976,0.0,apache_activemq,LIME,LGBM
4981,0.0,apache_activemq,LIME,LGBM
5052,0.0,apache_activemq,LIME,LGBM
5077,0.0,apache_activemq,LIME,LGBM
5163,0.0,apache_activemq,LIME,LGBM
5274,0.0,apache_activemq,LIME,LGBM
5170,0.0,apache_activemq,LIME,LGBM
5398,0.0,apache_activemq,LIME,LGBM
5564,0.0,apache_activemq,LIME,LGBM
5717,0.0,apache_activemq,LIME,LGBM
5774,0.0,apache_activemq,LIME,LGBM
5817,0.0,apache_activemq,LIME,LGBM
5909,0.0,apache_activemq,LIME,LGBM
4907,0.0,apache_activemq,LIME,LGBM
4911,0.0,apache_activemq,LIME,LGBM
4913,0.0,apache_activemq,LIME,LGBM
4914,0.0,apache_activemq,LIME,LGBM
4919,0.0,apache_activemq,LIME,LGBM
4965,0.0,apache_activemq,LIME,LGBM
4971,0.0,apache_activemq,LIME,LGBM
4978,0.0,apache_activemq,LIME,LGBM
4987,0.11670582465327468,apache_activemq,LIME,LGBM
5322,0.5618120363332956,apache_activemq,LIME,LGBM
5299,0.3477643707487264,apache_activemq,LIME,LGBM
5027,0.0,apache_activemq,LIME,LGBM
5028,0.0,apache_activemq,LIME,LGBM
5087,0.0,apache_activemq,LIME,LGBM
5089,0.0,apache_activemq,LIME,LGBM
5094,0.0,apache_activemq,LIME,LGBM
4993,0.45221572823262707,apache_activemq,LIME,LGBM
5129,0.0,apache_activemq,LIME,LGBM
5180,0.0,apache_activemq,LIME,LGBM
5138,0.0,apache_activemq,LIME,LGBM
5214,0.0,apache_activemq,LIME,LGBM
5236,0.0,apache_activemq,LIME,LGBM
5245,0.0,apache_activemq,LIME,LGBM
5249,0.39710971717582944,apache_activemq,LIME,LGBM
5268,0.0,apache_activemq,LIME,LGBM
5283,0.0,apache_activemq,LIME,LGBM
5294,0.0,apache_activemq,LIME,LGBM
5319,0.0,apache_activemq,LIME,LGBM
5333,0.0,apache_activemq,LIME,LGBM
5337,0.0,apache_activemq,LIME,LGBM
5356,0.41572503432670127,apache_activemq,LIME,LGBM
5379,0.0,apache_activemq,LIME,LGBM
5389,0.0,apache_activemq,LIME,LGBM
5416,0.0,apache_activemq,LIME,LGBM
5237,0.6863676038306059,apache_activemq,LIME,LGBM
5437,0.0,apache_activemq,LIME,LGBM
5441,0.0,apache_activemq,LIME,LGBM
5444,0.0,apache_activemq,LIME,LGBM
5466,0.0,apache_activemq,LIME,LGBM
5486,0.42191619297753447,apache_activemq,LIME,LGBM
5499,0.0,apache_activemq,LIME,LGBM
5002,0.4169378398630529,apache_activemq,LIME,LGBM
5321,0.44632756728878553,apache_activemq,LIME,LGBM
5424,0.5919524835579778,apache_activemq,LIME,LGBM
5583,0.0,apache_activemq,LIME,LGBM
5585,0.0,apache_activemq,LIME,LGBM
5594,0.0,apache_activemq,LIME,LGBM
5599,0.0,apache_activemq,LIME,LGBM
5630,0.0,apache_activemq,LIME,LGBM
5684,0.0,apache_activemq,LIME,LGBM
5509,0.4022840973734157,apache_activemq,LIME,LGBM
5706,0.0,apache_activemq,LIME,LGBM
5760,0.0,apache_activemq,LIME,LGBM
5770,0.0,apache_activemq,LIME,LGBM
5784,0.0,apache_activemq,LIME,LGBM
5811,0.0,apache_activemq,LIME,LGBM
5859,0.0,apache_activemq,LIME,LGBM
5936,0.0,apache_activemq,LIME,LGBM
5985,0.0,apache_activemq,LIME,LGBM
6003,0.0,apache_activemq,LIME,LGBM
5528,0.5008389957001237,apache_activemq,LIME,LGBM
5988,0.1984211703196698,apache_activemq,LIME,LGBM
18167,3.181144866568185e-17,apache_camel,LIME,LGBM
18909,0.0,apache_camel,LIME,LGBM
18376,3.173499246925193e-17,apache_camel,LIME,LGBM
18682,3.198508109767198e-17,apache_camel,LIME,LGBM
18915,3.1077956471370784e-17,apache_camel,LIME,LGBM
19073,3.1827216389427165e-17,apache_camel,LIME,LGBM
18896,3.1077956471370784e-17,apache_camel,LIME,LGBM
19142,3.181144866568185e-17,apache_camel,LIME,LGBM
19102,3.1811176032894025e-17,apache_camel,LIME,LGBM
19184,3.200138609804246e-17,apache_camel,LIME,LGBM
19634,3.198508109767198e-17,apache_camel,LIME,LGBM
19565,3.187436607432381e-17,apache_camel,LIME,LGBM
19663,0.0,apache_camel,LIME,LGBM
20030,0.0,apache_camel,LIME,LGBM
19000,0.14396690967856687,apache_camel,LIME,LGBM
20249,0.0,apache_camel,LIME,LGBM
21395,3.2216360539098026e-17,apache_camel,LIME,LGBM
20570,3.1077956471370784e-17,apache_camel,LIME,LGBM
22227,0.0,apache_camel,LIME,LGBM
21445,3.1827216389427165e-17,apache_camel,LIME,LGBM
6692,0.0,apache_cassandra,LIME,LGBM
6563,0.0,apache_cassandra,LIME,LGBM
6555,0.0,apache_cassandra,LIME,LGBM
6632,0.0,apache_cassandra,LIME,LGBM
6643,0.0,apache_cassandra,LIME,LGBM
6690,0.0,apache_cassandra,LIME,LGBM
6728,0.0,apache_cassandra,LIME,LGBM
6718,0.0,apache_cassandra,LIME,LGBM
6807,0.0,apache_cassandra,LIME,LGBM
6855,0.0,apache_cassandra,LIME,LGBM
6825,0.0,apache_cassandra,LIME,LGBM
6853,0.0,apache_cassandra,LIME,LGBM
6961,0.0,apache_cassandra,LIME,LGBM
6887,0.0,apache_cassandra,LIME,LGBM
6907,0.0,apache_cassandra,LIME,LGBM
6979,0.0,apache_cassandra,LIME,LGBM
7007,0.0,apache_cassandra,LIME,LGBM
6991,0.0,apache_cassandra,LIME,LGBM
6992,0.0,apache_cassandra,LIME,LGBM
7054,0.13154429025257308,apache_cassandra,LIME,LGBM
7217,0.0,apache_cassandra,LIME,LGBM
7250,0.0,apache_cassandra,LIME,LGBM
7193,0.0,apache_cassandra,LIME,LGBM
7271,0.0,apache_cassandra,LIME,LGBM
7282,0.0,apache_cassandra,LIME,LGBM
7273,0.0,apache_cassandra,LIME,LGBM
7325,0.0,apache_cassandra,LIME,LGBM
7377,0.0,apache_cassandra,LIME,LGBM
7381,0.0,apache_cassandra,LIME,LGBM
7413,0.0,apache_cassandra,LIME,LGBM
7464,0.0,apache_cassandra,LIME,LGBM
7752,0.0,apache_cassandra,LIME,LGBM
7766,0.0,apache_cassandra,LIME,LGBM
7684,0.0,apache_cassandra,LIME,LGBM
7792,0.0,apache_cassandra,LIME,LGBM
8143,0.0,apache_cassandra,LIME,LGBM
6683,0.0,apache_cassandra,LIME,LGBM
6544,0.2409543627181861,apache_cassandra,LIME,LGBM
6659,0.5672881705630485,apache_cassandra,LIME,LGBM
6610,0.4856419924328102,apache_cassandra,LIME,LGBM
6755,0.4819087254363722,apache_cassandra,LIME,LGBM
6766,0.3081830215162355,apache_cassandra,LIME,LGBM
6849,0.0,apache_cassandra,LIME,LGBM
6877,0.0,apache_cassandra,LIME,LGBM
6794,0.16883524395778873,apache_cassandra,LIME,LGBM
6775,0.4819087254363722,apache_cassandra,LIME,LGBM
6910,0.0,apache_cassandra,LIME,LGBM
6916,0.0,apache_cassandra,LIME,LGBM
6847,0.3237613282885401,apache_cassandra,LIME,LGBM
6903,0.40685794467163,apache_cassandra,LIME,LGBM
6890,0.4819087254363722,apache_cassandra,LIME,LGBM
6935,0.2409543627181861,apache_cassandra,LIME,LGBM
6929,0.5816405482134593,apache_cassandra,LIME,LGBM
6953,0.197710175640776,apache_cassandra,LIME,LGBM
6933,0.4819087254363722,apache_cassandra,LIME,LGBM
