,score,project,explainer,model
4911,0.0,apache_activemq,LIME,RF
4914,0.0,apache_activemq,LIME,RF
4919,0.0,apache_activemq,LIME,RF
4961,0.0,apache_activemq,LIME,RF
4965,0.0,apache_activemq,LIME,RF
4987,0.0,apache_activemq,LIME,RF
5028,0.0,apache_activemq,LIME,RF
5051,0.0,apache_activemq,LIME,RF
5060,0.0,apache_activemq,LIME,RF
5090,0.21633000712505027,apache_activemq,LIME,RF
5094,0.0,apache_activemq,LIME,RF
5129,0.0,apache_activemq,LIME,RF
5138,0.0,apache_activemq,LIME,RF
5171,0.0,apache_activemq,LIME,RF
5236,0.0,apache_activemq,LIME,RF
5245,0.0,apache_activemq,LIME,RF
5250,0.0,apache_activemq,LIME,RF
5251,0.14976692800965014,apache_activemq,LIME,RF
5283,0.0,apache_activemq,LIME,RF
5319,0.0,apache_activemq,LIME,RF
5337,0.0,apache_activemq,LIME,RF
5379,0.0,apache_activemq,LIME,RF
5390,0.0,apache_activemq,LIME,RF
5416,0.0,apache_activemq,LIME,RF
5438,0.0,apache_activemq,LIME,RF
5441,0.0,apache_activemq,LIME,RF
5444,0.0,apache_activemq,LIME,RF
5466,0.0,apache_activemq,LIME,RF
5481,0.0,apache_activemq,LIME,RF
5523,0.0,apache_activemq,LIME,RF
5594,0.0,apache_activemq,LIME,RF
5599,0.0,apache_activemq,LIME,RF
5630,0.0,apache_activemq,LIME,RF
5706,0.45178643765077303,apache_activemq,LIME,RF
5717,0.0,apache_activemq,LIME,RF
5770,0.0,apache_activemq,LIME,RF
5760,0.5758031208953407,apache_activemq,LIME,RF
5811,0.0,apache_activemq,LIME,RF
5817,0.0,apache_activemq,LIME,RF
5918,0.0,apache_activemq,LIME,RF
5909,0.5626680056535,apache_activemq,LIME,RF
5936,0.0,apache_activemq,LIME,RF
5985,0.0,apache_activemq,LIME,RF
6003,0.25276046420862464,apache_activemq,LIME,RF
5052,0.0,apache_activemq,LIME,RF
5564,0.0,apache_activemq,LIME,RF
5634,0.29017769066094806,apache_activemq,LIME,RF
5871,0.0,apache_activemq,LIME,RF
4905,0.0,apache_activemq,LIME,RF
4971,0.0,apache_activemq,LIME,RF
5002,0.0,apache_activemq,LIME,RF
5027,0.0,apache_activemq,LIME,RF
5049,0.0,apache_activemq,LIME,RF
5077,0.0,apache_activemq,LIME,RF
5170,0.0,apache_activemq,LIME,RF
5180,0.0,apache_activemq,LIME,RF
5187,0.0,apache_activemq,LIME,RF
5214,0.0,apache_activemq,LIME,RF
5249,0.0,apache_activemq,LIME,RF
5257,0.0,apache_activemq,LIME,RF
5294,0.0,apache_activemq,LIME,RF
5299,0.0,apache_activemq,LIME,RF
5321,0.0,apache_activemq,LIME,RF
5386,0.0,apache_activemq,LIME,RF
5389,0.0,apache_activemq,LIME,RF
5424,0.0,apache_activemq,LIME,RF
5437,0.0,apache_activemq,LIME,RF
5499,0.0,apache_activemq,LIME,RF
5583,0.0,apache_activemq,LIME,RF
5528,0.040341163742186596,apache_activemq,LIME,RF
5684,0.0,apache_activemq,LIME,RF
5729,0.0,apache_activemq,LIME,RF
5774,0.0,apache_activemq,LIME,RF
5784,0.0,apache_activemq,LIME,RF
5790,0.0,apache_activemq,LIME,RF
5988,0.0,apache_activemq,LIME,RF
5274,0.0,apache_activemq,LIME,RF
4974,0.0,apache_activemq,LIME,RF
4978,0.0,apache_activemq,LIME,RF
4993,0.0,apache_activemq,LIME,RF
5057,0.0,apache_activemq,LIME,RF
5087,0.0,apache_activemq,LIME,RF
5089,0.0,apache_activemq,LIME,RF
5169,0.305076881759941,apache_activemq,LIME,RF
5322,0.0,apache_activemq,LIME,RF
5356,0.0,apache_activemq,LIME,RF
5486,0.0,apache_activemq,LIME,RF
5577,0.03447182044835462,apache_activemq,LIME,RF
5585,0.0,apache_activemq,LIME,RF
5815,0.0,apache_activemq,LIME,RF
5859,0.0,apache_activemq,LIME,RF
18376,3.1694400413234746e-17,apache_camel,LIME,RF
18896,3.107795647137079e-17,apache_camel,LIME,RF
18909,3.221636053909801e-17,apache_camel,LIME,RF
18915,0.0,apache_camel,LIME,RF
19000,3.1487532975530286e-17,apache_camel,LIME,RF
19102,0.0,apache_camel,LIME,RF
19125,0.0,apache_camel,LIME,RF
19142,3.1694400413234746e-17,apache_camel,LIME,RF
19184,3.1710264681888114e-17,apache_camel,LIME,RF
19236,3.1710264681888114e-17,apache_camel,LIME,RF
19565,3.1833237544353736e-17,apache_camel,LIME,RF
19634,0.0,apache_camel,LIME,RF
20180,3.1487532975530286e-17,apache_camel,LIME,RF
20249,0.0,apache_camel,LIME,RF
20570,0.0,apache_camel,LIME,RF
21395,3.2094802776670226e-17,apache_camel,LIME,RF
21445,0.0,apache_camel,LIME,RF
21934,0.0,apache_camel,LIME,RF
22227,3.1694400413234746e-17,apache_camel,LIME,RF
6551,0.0,apache_cassandra,LIME,RF
6555,0.0,apache_cassandra,LIME,RF
6563,0.0,apache_cassandra,LIME,RF
6587,0.0,apache_cassandra,LIME,RF
6632,0.0,apache_cassandra,LIME,RF
6643,0.0,apache_cassandra,LIME,RF
6690,0.0,apache_cassandra,LIME,RF
6692,0.0,apache_cassandra,LIME,RF
6718,0.0,apache_cassandra,LIME,RF
6728,0.0,apache_cassandra,LIME,RF
6750,0.0,apache_cassandra,LIME,RF
6825,0.0,apache_cassandra,LIME,RF
6853,0.0,apache_cassandra,LIME,RF
6855,0.0,apache_cassandra,LIME,RF
6859,0.0,apache_cassandra,LIME,RF
6887,0.0,apache_cassandra,LIME,RF
6894,0.0,apache_cassandra,LIME,RF
6896,0.0,apache_cassandra,LIME,RF
6907,0.0,apache_cassandra,LIME,RF
6961,0.0,apache_cassandra,LIME,RF
6979,0.0,apache_cassandra,LIME,RF
6992,0.0,apache_cassandra,LIME,RF
7054,0.0,apache_cassandra,LIME,RF
7086,0.0,apache_cassandra,LIME,RF
7107,0.0,apache_cassandra,LIME,RF
7146,0.0,apache_cassandra,LIME,RF
7153,0.0,apache_cassandra,LIME,RF
7182,0.0,apache_cassandra,LIME,RF
7193,0.0,apache_cassandra,LIME,RF
7217,0.0,apache_cassandra,LIME,RF
7223,0.0,apache_cassandra,LIME,RF
7250,0.0,apache_cassandra,LIME,RF
7271,0.0,apache_cassandra,LIME,RF
7273,0.0,apache_cassandra,LIME,RF
7282,0.0,apache_cassandra,LIME,RF
7325,0.0,apache_cassandra,LIME,RF
7377,0.0,apache_cassandra,LIME,RF
7381,0.0,apache_cassandra,LIME,RF
7413,0.0,apache_cassandra,LIME,RF
7434,0.0,apache_cassandra,LIME,RF
7464,0.0,apache_cassandra,LIME,RF
7482,0.0,apache_cassandra,LIME,RF
7514,0.0,apache_cassandra,LIME,RF
7621,0.0,apache_cassandra,LIME,RF
7684,0.0,apache_cassandra,LIME,RF
7696,0.0,apache_cassandra,LIME,RF
7711,0.0,apache_cassandra,LIME,RF
7752,0.0,apache_cassandra,LIME,RF
7766,0.0,apache_cassandra,LIME,RF
7783,0.0,apache_cassandra,LIME,RF
7786,0.0,apache_cassandra,LIME,RF
7846,0.0,apache_cassandra,LIME,RF
7871,0.0,apache_cassandra,LIME,RF
6580,0.10943474622274792,apache_cassandra,LIME,RF
