,score,project,explainer,model
4911,0.0,apache_activemq,LIME,SVM
4914,0.0,apache_activemq,LIME,SVM
4965,0.0,apache_activemq,LIME,SVM
5236,0.0,apache_activemq,LIME,SVM
5028,0.0,apache_activemq,LIME,SVM
5245,0.0,apache_activemq,LIME,SVM
4987,0.0,apache_activemq,LIME,SVM
5094,0.0,apache_activemq,LIME,SVM
5283,0.0,apache_activemq,LIME,SVM
5319,0.0,apache_activemq,LIME,SVM
5060,0.0,apache_activemq,LIME,SVM
5129,0.0,apache_activemq,LIME,SVM
5337,0.0,apache_activemq,LIME,SVM
5390,0.0,apache_activemq,LIME,SVM
5438,0.0,apache_activemq,LIME,SVM
5466,0.0,apache_activemq,LIME,SVM
5594,0.0,apache_activemq,LIME,SVM
5599,0.0,apache_activemq,LIME,SVM
5630,0.0,apache_activemq,LIME,SVM
5717,0.0,apache_activemq,LIME,SVM
5811,0.0,apache_activemq,LIME,SVM
5817,0.0,apache_activemq,LIME,SVM
5918,0.0,apache_activemq,LIME,SVM
5936,0.0,apache_activemq,LIME,SVM
5985,0.0,apache_activemq,LIME,SVM
5002,0.0,apache_activemq,LIME,SVM
5014,0.0,apache_activemq,LIME,SVM
5138,0.0,apache_activemq,LIME,SVM
5187,0.0,apache_activemq,LIME,SVM
5214,0.0,apache_activemq,LIME,SVM
5294,0.0,apache_activemq,LIME,SVM
5299,0.0,apache_activemq,LIME,SVM
5424,0.0,apache_activemq,LIME,SVM
5437,0.0,apache_activemq,LIME,SVM
5684,0.0,apache_activemq,LIME,SVM
5760,0.0,apache_activemq,LIME,SVM
5784,0.0,apache_activemq,LIME,SVM
5790,0.0,apache_activemq,LIME,SVM
5988,0.0,apache_activemq,LIME,SVM
5486,0.0,apache_activemq,LIME,SVM
18423,7.171737689382098e-17,apache_camel,LIME,SVM
18896,7.136641007034678e-17,apache_camel,LIME,SVM
18909,7.117947300187724e-17,apache_camel,LIME,SVM
18915,7.136641007034678e-17,apache_camel,LIME,SVM
19184,7.136641007034678e-17,apache_camel,LIME,SVM
20570,7.136641007034678e-17,apache_camel,LIME,SVM
18376,6.368470250145612e-17,apache_camel,LIME,SVM
19565,7.171737689382098e-17,apache_camel,LIME,SVM
19705,6.948107030777258e-17,apache_camel,LIME,SVM
20180,7.07334854859392e-17,apache_camel,LIME,SVM
7377,0.0,apache_cassandra,LIME,SVM
6643,0.0,apache_cassandra,LIME,SVM
8090,0.0,apache_cassandra,LIME,SVM
6533,0.0,apache_cassandra,LIME,SVM
6530,0.0,apache_cassandra,LIME,SVM
6532,0.0,apache_cassandra,LIME,SVM
6545,0.0,apache_cassandra,LIME,SVM
6546,0.0,apache_cassandra,LIME,SVM
6531,0.4819086780891741,apache_cassandra,LIME,SVM
6555,0.0,apache_cassandra,LIME,SVM
6559,0.0,apache_cassandra,LIME,SVM
6569,0.0,apache_cassandra,LIME,SVM
6581,0.0,apache_cassandra,LIME,SVM
6582,0.0,apache_cassandra,LIME,SVM
6585,0.0,apache_cassandra,LIME,SVM
6586,0.0,apache_cassandra,LIME,SVM
6529,0.1945258411231819,apache_cassandra,LIME,SVM
6599,0.0,apache_cassandra,LIME,SVM
6604,0.0,apache_cassandra,LIME,SVM
6608,0.4714912500195357,apache_cassandra,LIME,SVM
6611,0.0,apache_cassandra,LIME,SVM
6612,0.0,apache_cassandra,LIME,SVM
6620,0.0,apache_cassandra,LIME,SVM
6621,0.0,apache_cassandra,LIME,SVM
6638,0.05093339954203387,apache_cassandra,LIME,SVM
6639,0.0,apache_cassandra,LIME,SVM
6642,0.0,apache_cassandra,LIME,SVM
6550,0.41127967314779945,apache_cassandra,LIME,SVM
6646,0.0,apache_cassandra,LIME,SVM
6656,0.4828805048752923,apache_cassandra,LIME,SVM
6644,0.10114536005848265,apache_cassandra,LIME,SVM
6670,0.0,apache_cassandra,LIME,SVM
6672,0.0,apache_cassandra,LIME,SVM
6675,0.4844631620018857,apache_cassandra,LIME,SVM
6681,0.0,apache_cassandra,LIME,SVM
6544,0.20176935592472536,apache_cassandra,LIME,SVM
6537,0.44898248833954824,apache_cassandra,LIME,SVM
6700,0.0,apache_cassandra,LIME,SVM
6707,0.3920906928852096,apache_cassandra,LIME,SVM
6691,0.05093339954203387,apache_cassandra,LIME,SVM
6718,0.0,apache_cassandra,LIME,SVM
6719,0.0,apache_cassandra,LIME,SVM
6728,0.0,apache_cassandra,LIME,SVM
6659,0.41324331782773516,apache_cassandra,LIME,SVM
6733,0.0,apache_cassandra,LIME,SVM
6594,0.30191365212428906,apache_cassandra,LIME,SVM
6543,0.48792788097827783,apache_cassandra,LIME,SVM
6758,0.0,apache_cassandra,LIME,SVM
6765,0.0,apache_cassandra,LIME,SVM
6766,0.4819086780891741,apache_cassandra,LIME,SVM
6772,0.0,apache_cassandra,LIME,SVM
6710,0.404368952553961,apache_cassandra,LIME,SVM
6692,0.4387772735447051,apache_cassandra,LIME,SVM
6778,0.0,apache_cassandra,LIME,SVM
6732,0.15158467185942873,apache_cassandra,LIME,SVM
6784,0.0,apache_cassandra,LIME,SVM
6794,0.0,apache_cassandra,LIME,SVM
6773,0.15158467185942873,apache_cassandra,LIME,SVM
6798,0.0,apache_cassandra,LIME,SVM
6802,0.0,apache_cassandra,LIME,SVM
6814,0.0,apache_cassandra,LIME,SVM
6818,0.3634764816271871,apache_cassandra,LIME,SVM
6745,0.43252592817142793,apache_cassandra,LIME,SVM
6540,0.28599380356379944,apache_cassandra,LIME,SVM
6527,0.33320720703038353,apache_cassandra,LIME,SVM
6832,0.0,apache_cassandra,LIME,SVM
6834,0.0,apache_cassandra,LIME,SVM
6795,0.2517023639542731,apache_cassandra,LIME,SVM
6825,0.4387772735447051,apache_cassandra,LIME,SVM
6846,0.0,apache_cassandra,LIME,SVM
6851,0.2784528434988722,apache_cassandra,LIME,SVM
6861,0.4819086780891741,apache_cassandra,LIME,SVM
6829,0.20785049658292257,apache_cassandra,LIME,SVM
6819,0.5562225110355216,apache_cassandra,LIME,SVM
6890,0.0,apache_cassandra,LIME,SVM
6898,0.0,apache_cassandra,LIME,SVM
6903,0.4819086780891741,apache_cassandra,LIME,SVM
6913,0.0,apache_cassandra,LIME,SVM
6887,0.4729349830044484,apache_cassandra,LIME,SVM
6918,0.0,apache_cassandra,LIME,SVM
6841,0.20176935592472536,apache_cassandra,LIME,SVM
6927,0.0,apache_cassandra,LIME,SVM
6930,0.4819086780891741,apache_cassandra,LIME,SVM
6919,0.4729349830044484,apache_cassandra,LIME,SVM
6936,0.0,apache_cassandra,LIME,SVM
6937,0.0,apache_cassandra,LIME,SVM
6933,0.48054048028648166,apache_cassandra,LIME,SVM
6734,0.40787303931982205,apache_cassandra,LIME,SVM
6781,0.6476030676031646,apache_cassandra,LIME,SVM
6881,0.2517023639542731,apache_cassandra,LIME,SVM
6963,0.4819086780891741,apache_cassandra,LIME,SVM
6964,0.0,apache_cassandra,LIME,SVM
