feature,value,importance,min,max,rule,importance_ratio
la,123,0.20272575124423153,0.0,5443.0,100.89045653715445 < la <= 277.37502093367283,0.4357003633014627
ndev,1.33333333333333,-0.11862835862064326,0.0,69.0,ndev <= 1.3178935157767122,0.2549573432661836
asexp,538.0,-0.08743002299556715,0.0,601.0,asexp > 17.788443942571526,0.187905545047069
ld,117,-0.029734747080930605,0.0,7734.0,ld > 100.73397805831269,0.06390623799060759
aexp,569,0.010643472627331542,0.0,1586.0,aexp > 259.3366712721096,0.022875065757831204
