feature,value,importance,min,max,rule,importance_ratio
ns,3.0,0.21322695614803786,1.0,9.0,2.4958440955958925 < ns <= 6.503048404494037,0.5400636489429204
nuc,46.2903225806452,0.05930725253907667,0.0,209.0,9.185789996399661 < nuc <= 67.67536906540971,0.15021408077877196
la,84.0,-0.04082935241284772,0.0,5956.0,63.23108389406272 < la <= 105.26016462261896,0.10341304611012654
aexp,13.0,0.03590513006577076,0.0,403.0,6.128482956425856 < aexp <= 259.48003416260264,0.09094091999150246
age,72.58064516129029,0.03317484872907295,0.0,829.533333333333,6.825997486629916 < age <= 98.2860137036514,0.08402563250639646
