feature,value,importance,min,max,rule,importance_ratio
la,141,0.1994376454166119,0.0,5956.0,105.26016462261896 < la <= 165.96883678608913,0.5333676249617271
nuc,113.0,-0.04838298962197348,0.0,209.0,70.07905039701288 < nuc <= 135.51259775732092,0.12939342624765268
aexp,24,0.04561195125013536,0.0,403.0,6.128482956425856 < aexp <= 259.48003416260264,0.12198267813147982
asexp,1.6962303519248998,0.03865840133768299,0.0,197.0,1.1438006319502207 < asexp <= 115.31620119105196,0.1033863976042498
age,12.5,0.03236135842156325,0.0,829.533333333333,6.825997486629916 < age <= 98.2860137036514,0.0865458516910804
