feature,value,importance,min,max,rule,importance_ratio
la,184,0.11503283676315919,0.0,9094.0,89.63502906531855 < la <= 198.10918576028968,0.43606599830302517
nuc,53.3333333333333,0.04725218184153241,0.0,480.0,17.021870288644497 < nuc <= 98.64471611143635,0.17912337404273213
age,32.3333333333333,0.030894943488350698,0.0,575.0,7.346025962989069 < age <= 349.3395012011218,0.11711642304797841
arexp,58.0,-0.02959405408589315,0.0,2143.5,18.99314235170766 < arexp <= 741.0350150255845,0.11218501692146138
nd,6,0.028874909084481072,1.0,46.0,4.49814249084984 < nd <= 6.501361706446655,0.10945888504651642
