,nuc,arexp,ent,ndev,age,asexp,la,ld
6530,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6537,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6527,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6532,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6533,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6531,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6540,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6529,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6545,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6544,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6550,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6543,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6546,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6551,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6547,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6555,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6556,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6559,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6553,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6580,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6569,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6563,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6581,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6564,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6582,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6584,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6586,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6585,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6587,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6590,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6593,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6599,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6596,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6604,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6594,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6608,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6610,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6611,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6612,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6619,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6621,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6637,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6620,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6638,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6642,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6639,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6643,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6644,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6632,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6646,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6656,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
6670,566.7,722.75,1.9056390622295705,0.375,108.636363636364,2839.0,121.5,16.5
