feature,value,importance,min,max,rule,importance_ratio
la,11,-0.275875081985363,0.0,9292.0,9.406984906405683 < la <= 39.81285166734423,0.5250087666209385
aexp,129,-0.14818498323161766,0.0,1247.0,66.43130184574665 < aexp <= 399.81547221843977,0.2820059525430564
nuc,26.75,0.04431891411886869,0.0,125.0,nuc > 20.969423459838765,0.08434186325230006
age,10.25,0.034760840992123156,0.0,403.0,8.132027845514065 < age <= 26.17515633810921,0.06615220963287076
asexp,22.0,0.01689184927578117,0.0,318.0,asexp > 16.00974373921357,0.03214632104647709
