feature,value,importance,min,max,rule,importance_ratio
ent,3.02589361834965,0.12278152451804215,0.0,6.08230385583814,1.596054196840603 < ent <= 3.4251727475658535,0.457492966625294
la,63.0,-0.04239074991636817,0.0,9967.0,42.326804326581055 < la <= 104.87903696289698,0.15795104363491128
age,74.2,0.040083818842100896,0.0,1802.57575757576,11.310905131690312 < age <= 252.15332398535617,0.14935524923417046
nuc,66.3,0.028483005770677052,0.0,976.0,12.104132594966572 < nuc <= 255.46934596936424,0.10612976878714031
ndev,5.4,0.010980800394384113,0.0,85.0,4.096578965816638 < ndev <= 10.553100765399932,0.04091526773320677
