feature,value,importance,min,max,rule,importance_ratio
age,123.5,-0.07580900552176438,0.0,1802.57575757576,age > 69.52400163186547,0.2748356970413741
ent,0.985228136034252,-0.07108627528035881,0.0,6.08230385583814,0.5798772242154636 < ent <= 1.4055210144733894,0.2577140523383258
la,149.0,-0.053905569407167696,0.0,9967.0,84.0282927507917 < la <= 365.51333961421346,0.19542763607653107
asexp,11.0,0.04345885722759808,0.0,1122.0,1.5309165943878895 < asexp <= 44.338771519437486,0.15755443877099012
ld,26.0,0.011142135896882142,0.0,8658.0,14.111432331182087 < ld <= 66.48932766977154,0.04039436561227757
