feature,value,importance,min,max,rule,importance_ratio
ns,1.0,0.1893448257342267,1.0,7.0,ns <= 1.4973267047410423,0.39131944807120045
la,199.0,0.10735173059288874,0.0,9176.0,la > 135.835850879889,0.2218641032423193
nd,1.0,-0.06575251380359949,1.0,40.0,nd <= 1.4991410283510338,0.13589089277271676
aexp,395.0,0.05644618084173583,0.0,726.0,315.32115273373984 < aexp <= 398.4047669941732,0.11665747002624553
nuc,85.0,-0.039876066949874965,0.0,2086.0,11.446877959457481 < nuc <= 113.47699669467761,0.08241197217598231
