feature,value,importance,min,max,rule,importance_ratio
ns,2.0,-0.1733062613067458,1.0,7.0,1.4973267047410423 < ns <= 2.502438908657955,0.3175442904566094
la,367.0,0.11511868301781,0.0,9176.0,la > 135.835850879889,0.21092879300239642
nd,9.0,0.10344394019659224,1.0,40.0,5.487575744339811 < nd <= 12.487685654034399,0.18953748320508162
age,89.4878048780488,0.06666246617053022,0.0,511.03030303030295,84.25039107908812 < age <= 379.6012832253171,0.12214380115639129
aexp,43.0,-0.043475382111001354,0.0,726.0,6.308411975636886 < aexp <= 54.40945181062462,0.07965874551025545
