feature,value,importance,min,max,rule,importance_ratio
la,180,0.09142372072115795,0.0,9094.0,89.63502906531855 < la <= 198.10918576028968,0.4628903910555863
arexp,66.0,-0.03806048114014825,0.0,2143.5,18.99314235170766 < arexp <= 741.0350150255845,0.192705250450934
age,8.25,0.0313557492492927,0.0,575.0,7.346025962989069 < age <= 349.3395012011218,0.15875830602119656
nd,2,-0.019291213136390838,1.0,46.0,1.4933136674546177 < nd <= 2.4949232752530253,0.09767396384879397
nuc,36.25,0.009730567158960722,0.0,480.0,17.021870288644497 < nuc <= 98.64471611143635,0.04926714863357757
