feature,value,importance,min,max,rule,importance_ratio
ns,4.0,-0.1608841046020505,1.0,6.0,3.4974643065164734 < ns <= 4.497778927476052,0.263287660443932
nd,10.0,0.1516428388138136,1.0,35.0,8.51515966943804 < nd <= 15.509541410609344,0.2481642816928504
age,214.4,-0.10418508372323877,0.0,536.25,age > 172.46486330358397,0.17049942264027187
aexp,160.0,0.09309943640024966,0.0,418.0,157.78734591064995 < aexp <= 173.5744038495336,0.15235770406965343
ld,49.0,0.05086810763944193,0.0,6893.0,19.414412417987634 < ld <= 56.843026768805146,0.0832459184499702
