feature,value,importance,min,max,rule,importance_ratio
ns,2.0,-0.17922361532847775,1.0,7.0,1.4973267047410423 < ns <= 2.502438908657955,0.3410232906500461
age,549.882352941176,-0.13628242126710674,0.0,511.03030303030295,age > 379.6012832253171,0.25931560231660966
la,1071.0,0.12519807817222453,0.0,9176.0,la > 135.835850879889,0.23822452483788067
nuc,13.470588235294096,-0.035572920281426,0.0,2086.0,11.446877959457481 < nuc <= 113.47699669467761,0.06768747695536567
aexp,29.0,-0.035435287471312756,0.0,726.0,6.308411975636886 < aexp <= 54.40945181062462,0.0674255918588051
