feature,value,importance,min,max,rule,importance_ratio
ns,2,-0.2951235717510606,1.0,6.0,1.4968350645973174 < ns <= 2.497149685556895,0.3819210787977528
nd,7,0.2093909816868818,1.0,35.0,4.485787579415443 < nd <= 8.51515966943804,0.2709740504354919
la,1986,0.1641380263174321,0.0,8385.0,363.9600190460562 < la <= 3755.7865561189433,0.21241194565022853
age,80.0,0.05961298767272546,0.0,536.25,age <= 91.7448502777025,0.07714550358427147
aexp,49,-0.01720250796868165,0.0,418.0,46.526175674707815 < aexp <= 72.83793890618061,0.022261862590114253
