feature,value,importance,min,max,rule,importance_ratio
la,99,0.43813469273294764,0.0,8851.0,la > 67.23063501824093,0.6035664018555668
nuc,13.2,-0.08799454332339852,0.0,2540.0,nuc <= 16.979309426715872,0.12121968604070218
ld,13,0.0579518672369214,0.0,9293.0,6.605575463515187 < ld <= 34.44034021032985,0.07983344064999634
arexp,907.183333333361,0.04042883352688624,0.0,2480.61666666637,602.7289376170835 < arexp <= 1402.9445944435188,0.05569402740246743
age,13.2,0.03325062113355931,0.0,918.0,6.104315757675584 < age <= 21.801583189788694,0.04580545227281856
