feature,value,importance,min,max,rule,importance_ratio
la,143.0,0.21868088952989012,0.0,9389.0,77.73891199130318 < la <= 259.02565808320827,0.6051021054959324
ndev,11.4285714285714,-0.039654471650219646,0.0,67.0,10.846402884905007 < ndev <= 15.443430675385592,0.10972611433701408
ld,143.0,-0.02702591580879712,0.0,9950.0,24.882467942900547 < ld <= 1866.9949643956745,0.07478220247784247
age,16.571428571428598,0.024174498907439824,0.0,1019.0,1.9558850614185843 < age <= 21.355116215938807,0.06689217434430428
nuc,106.142857142857,-0.022642536741440553,0.0,1520.0,48.480082529455615 < nuc <= 193.0959914371757,0.06265315037573037
