,nuc,aexp,ns,age,asexp,la
1921,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1923,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1912,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1956,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1918,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1958,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1951,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1942,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1962,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1973,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1978,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1980,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2015,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
1988,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2002,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2022,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2003,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2005,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2033,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2041,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2023,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2031,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2036,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2037,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2045,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2042,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2046,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2048,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2060,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2057,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2076,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2069,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2063,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2077,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2070,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2071,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2096,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2108,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2087,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2089,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2101,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2106,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2138,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2146,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2153,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2145,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2171,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2189,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2199,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2193,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2198,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2203,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2220,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2222,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2242,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2259,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2263,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2228,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2241,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2247,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2250,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2271,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2272,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2274,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2266,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2341,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2296,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2291,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2281,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
2363,4.38461538461539,354.5,2,0.4,0.314951578776049,156.5
