feature,value,importance,min,max,rule,importance_ratio
la,139,0.1798056855310514,0.0,9967.0,84.0282927507917 < la <= 365.51333961421346,0.3825613687214055
age,7.0,0.06804838746602553,0.0,1802.57575757576,5.603738808143731 < age <= 22.72523777878348,0.14478231971030509
ld,497,-0.049037830356794064,0.0,8658.0,ld > 66.48932766977154,0.10433474027818485
nuc,2.44444444444444,-0.04042946172404381,0.0,976.0,nuc <= 7.563736823056175,0.08601924999278657
ndev,0.277777777777778,0.03989205662058091,0.0,85.0,ndev <= 0.9878832845357923,0.08487584659410409
