feature,value,importance,min,max,rule,importance_ratio
la,338.0,0.27902325755393875,0.0,8851.0,la > 67.23063501824093,0.6988668031295683
nuc,328.0,0.040995684217699876,0.0,2540.0,73.0500660394882 < nuc <= 336.15130860711224,0.10268148620476447
asexp,1.66426022112117,0.03837811932330653,0.0,3637.0,-0.6613834552044295 < asexp <= -0.6613834552044295,0.09612529721261484
ndev,9.5,-0.011946207876193458,0.0,57.5,ndev > 6.473633030857848,0.029921549125139363
age,61.625,-0.010173361356444097,0.0,918.0,age > 21.801583189788694,0.025481117920378212
