project,test_idx,min,max,mean
apache_activemq,4905,0.030800184602395107,0.9196308802146288,0.25531024522851087
apache_activemq,4907,0.0046488598490841615,0.7797084413839139,0.046531996130979296
apache_activemq,4911,0.0023816580449804274,0.7082943008964246,0.03641602099723214
apache_activemq,4914,0.00860699862264998,0.8324612487018546,0.05952070272757879
apache_activemq,4919,0.003928238539555753,0.9068611542505691,0.06413536927053606
apache_activemq,4923,0.0038882203043763127,0.7658199854565083,0.04346577726267025
apache_activemq,4961,0.002416805546805821,0.8038455171590835,0.04368349085958749
apache_activemq,4965,0.0030230017883063442,0.8260374881176712,0.05533054010606614
apache_activemq,4971,0.003917162367511434,0.9161893978552371,0.048558143790294876
apache_activemq,4974,0.016433772569607208,0.6533275068738031,0.05886665761299726
apache_activemq,4976,0.0009218767330145165,0.7795899151175899,0.037778549331936605
apache_activemq,4978,0.01776235347000604,0.7038800979627533,0.06570688275164643
apache_activemq,4987,0.0030644132386054286,0.7585334032522073,0.04035876354236084
apache_activemq,4993,0.01686670058325446,0.70971254353931,0.2494346664023814
apache_activemq,4994,0.007074171093454401,0.9071551014451639,0.05508641449386586
apache_activemq,5002,0.018005013132691584,0.6991773107666723,0.07345444781733883
apache_activemq,5008,0.0020222777667521447,0.7586695274053215,0.04327081421280169
apache_activemq,5014,0.0022859631225604017,0.7771504536994073,0.04693615761608951
apache_activemq,5015,0.018711923771105463,0.7339045585790895,0.07225587410023222
apache_activemq,5027,0.01936749250725409,0.7327980371085526,0.0718372103788577
apache_activemq,5028,0.0030644132386054286,0.7585334032522073,0.04035876354236084
apache_activemq,5052,0.0012199275791834204,0.7365757334032037,0.04010955754083776
apache_activemq,5057,0.017064372726483073,0.6023471171742649,0.3076270428920188
apache_activemq,5060,0.004357521872622464,0.7476630148329211,0.04152375553002679
apache_activemq,5073,0.0033447505159038163,0.8339410167933669,0.05772686255785733
apache_activemq,5077,0.007442657854726637,0.9091314914185576,0.06994585257655707
apache_activemq,5090,0.0012071980686263195,0.7034206642448972,0.03365207082195409
apache_activemq,5094,0.0015457922063318093,0.7062930075551325,0.0340507393052248
apache_activemq,5129,0.0015464845588333389,0.7581477590203666,0.04028446141865688
apache_activemq,5138,0.009052250028620236,0.8318837299109761,0.062099208361063495
apache_activemq,5143,0.01774444479645113,0.6798614459562882,0.06560596619614281
apache_activemq,5161,0.006216694803706814,0.8741732365169356,0.05816769943901364
apache_activemq,5163,0.00300179175946168,0.7494702328094555,0.04235132774718435
apache_activemq,5169,0.00844121258867758,0.8323446384958693,0.060664201422802835
apache_activemq,5170,0.0035988896436041614,0.7795955221716275,0.04680190580626681
apache_activemq,5171,0.002793426465380241,0.7903522631883476,0.04688414465803452
apache_activemq,5180,0.006889558341289576,0.9133732995269644,0.08886364721142562
apache_activemq,5214,0.0040952542753150455,0.7906928614536477,0.04802373374540517
apache_activemq,5236,0.007352484037473587,0.8330203141086644,0.06013943002930341
apache_activemq,5237,0.016713130441388807,0.6543362670237453,0.05908415664905018
apache_activemq,5245,0.0013529202531867874,0.7770023146050795,0.042182210524217834
apache_activemq,5249,0.0029082386966422106,0.8263713152230241,0.05782339935528374
apache_activemq,5250,0.0025608315739204628,0.7902062154610257,0.043969977855399
apache_activemq,5257,0.05569913594942809,0.6878013467015507,0.17543868268844665
apache_activemq,5269,0.0031512553495593653,0.7508673404699757,0.0461185357141377
apache_activemq,5274,0.0010977689254762812,0.8088615749626206,0.050642727178195665
apache_activemq,5283,0.0023816580449804274,0.7082943008964246,0.03641602099723214
apache_activemq,5294,0.007865305769167039,0.8326618723828705,0.06107257366995603
apache_activemq,5299,0.01656823566698122,0.6372327759928776,0.06496088516882881
apache_activemq,5319,0.006361908910687586,0.7939083941739674,0.051617922312011705
apache_activemq,5321,0.01639305214100671,0.6537486203423947,0.0634645188843078
apache_activemq,5322,0.007947039640148973,0.6650512342435525,0.14484936021965192
apache_activemq,5333,0.00860699862264998,0.8324612487018546,0.05952070272757879
apache_activemq,5337,0.0018598755946570525,0.6896107637108347,0.03407735753980929
apache_activemq,5356,0.004487562863980612,0.6533376377871598,0.11124478278780671
apache_activemq,5379,0.0018917628640734397,0.7582121056709978,0.04072360384486984
apache_activemq,5386,0.0014682937160213378,0.7037174913558412,0.03384086550131376
apache_activemq,5389,0.004456991391821551,0.7935668904532581,0.047150998993900656
apache_activemq,5390,0.006108363973453533,0.8329097839319225,0.06120080048533767
apache_activemq,5416,0.000310278279179853,0.7761666080078921,0.04016931370950134
apache_activemq,5424,0.001955084796342594,0.7594777592610894,0.0369016943166711
apache_activemq,5437,0.008506541577125675,0.832541797386358,0.059247368961552374
apache_activemq,5441,0.009430145839157682,0.8320028209882937,0.060962087008068856
apache_activemq,5444,0.0035901539458733723,0.7658560844056925,0.043152983312896825
apache_activemq,5466,0.0070200556272287705,0.8338073979511604,0.062108049283966404
apache_activemq,5478,0.01131048088774945,0.8325662717969408,0.06707298153470194
apache_activemq,5481,0.003592620955940312,0.7798536928318073,0.046829591591688084
apache_activemq,5486,0.018146163127358117,0.7050206430580225,0.06568614379946558
apache_activemq,5499,0.0028651405078164572,0.7903094437780003,0.04390253319463468
apache_activemq,5507,0.0024427172046191064,0.7503055201602518,0.04453881493566735
apache_activemq,5509,0.012850995378335705,0.6855343902288433,0.225982755577614
