project,test_idx,min,max,mean
apache_activemq,4905,0.004118595149723994,0.7795754598233368,0.04667665180069312
apache_activemq,4907,0.00830185727131667,0.832777129482251,0.059909476942306396
apache_activemq,4908,0.00819568692648415,0.8765116198947688,0.057235094607499364
apache_activemq,4911,0.007334686974582941,0.8328763179687999,0.05953951125649263
apache_activemq,4913,0.008606998622649978,0.8324612487018549,0.05952070272757879
apache_activemq,4914,0.008606998622649978,0.8324612487018549,0.05952070272757879
apache_activemq,4919,0.003200064323525324,0.7935963535744218,0.04717949486630665
apache_activemq,4923,0.003285775768708475,0.7954401908850892,0.04731966868678986
apache_activemq,4965,0.003806230742034912,0.7476431188235292,0.041624444704361475
apache_activemq,4971,0.007325972768405457,0.874246207444876,0.05712647840040778
apache_activemq,4974,0.003158423534663968,0.8089255205003081,0.04851841323319663
apache_activemq,4976,0.00300179175946168,0.7494702328094559,0.04235132774718435
apache_activemq,4978,0.003806230742034912,0.7476431188235292,0.041624444704361475
apache_activemq,4981,0.0055560910681253075,0.7938891381111635,0.04879357356732573
apache_activemq,4987,0.002484654886501308,0.7482095541987475,0.041963197581701285
apache_activemq,4993,0.001790610711715962,0.7478322493337112,0.043769511007831045
apache_activemq,5002,0.002670901048369076,0.7497977983463575,0.04378371943436902
apache_activemq,5008,0.001656289483855911,0.807923045950519,0.04984702202977121
apache_activemq,5014,0.003158423534663968,0.8089255205003081,0.04851841323319663
apache_activemq,5027,0.0035061216759357545,0.7936572381337862,0.047514972996441536
apache_activemq,5028,0.0027870650497538296,0.747651058571436,0.04193034460304512
apache_activemq,5039,0.001826286962654906,0.7368372753429235,0.04044608856304858
apache_activemq,5052,0.0006847512186280693,0.8074180842794615,0.050460479504680904
apache_activemq,5057,0.01614985159811257,0.6366320667079031,0.05796452291897583
apache_activemq,5060,0.0016583605148992818,0.8022144184467296,0.04358109858998591
apache_activemq,5077,0.0022039159143673326,0.7493886009715158,0.04207308848462008
apache_activemq,5087,0.017361133681551528,0.6592070790310632,0.0631837152172841
apache_activemq,5089,0.016039481410898008,0.6349624035402622,0.057836677059851044
apache_activemq,5094,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5129,0.004355221133249053,0.7777687241554079,0.046548038018545415
apache_activemq,5138,0.004974990189584942,0.7475915689696608,0.04356175198527673
apache_activemq,5163,0.00300179175946168,0.7494702328094559,0.04235132774718435
apache_activemq,5170,0.0035988896436041635,0.7795955221716276,0.04680190580626682
apache_activemq,5171,0.0043901587249443345,0.8020094584044382,0.045838517523746354
apache_activemq,5180,0.00830185727131667,0.832777129482251,0.059909476942306396
apache_activemq,5214,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5236,0.008606998622649978,0.8324612487018549,0.05952070272757879
apache_activemq,5237,0.0019278556057306568,0.8044538997369001,0.04619443698605323
apache_activemq,5245,0.002275301256328142,0.7475735006469425,0.04334203409288525
apache_activemq,5249,0.0014780971530275354,0.7477844007928652,0.04366788966423721
apache_activemq,5257,0.0017949613618976536,0.8044231835907902,0.04578536153226883
apache_activemq,5268,0.007923429518470011,0.873964781182152,0.05855273534161301
apache_activemq,5274,0.002154341343722637,0.8087563666525811,0.050267759285137645
apache_activemq,5283,0.007334686974582941,0.8328763179687999,0.05953951125649263
apache_activemq,5294,0.003183667275900879,0.7477326550137037,0.042201973726755625
apache_activemq,5299,0.001568256111021398,0.8023908833918608,0.045876423247816454
apache_activemq,5319,0.002560624449418827,0.7476715864870479,0.041616717356872494
apache_activemq,5321,0.0027683387116032286,0.7488142241390571,0.04384818191984453
apache_activemq,5322,0.0033802474872184104,0.7497588569901077,0.04431479900111009
apache_activemq,5333,0.008606998622649978,0.8324612487018549,0.05952070272757879
apache_activemq,5337,0.003183667275900879,0.7477326550137037,0.042201973726755625
apache_activemq,5356,0.0034075693254092612,0.7498091532886346,0.044102498993000026
apache_activemq,5379,0.003806230742034912,0.7476431188235292,0.041624444704361475
apache_activemq,5386,0.003932625642694769,0.8089765868923654,0.04863263040979009
apache_activemq,5389,0.007334686974582941,0.8328763179687999,0.05953951125649263
apache_activemq,5390,0.003102357521070793,0.8021674029202198,0.04365908811274217
apache_activemq,5398,0.003520558010767274,0.7494087137118767,0.04176324790313491
apache_activemq,5416,0.004355221133249053,0.7777687241554079,0.046548038018545415
apache_activemq,5424,0.0034216298823633584,0.7498191763596466,0.04429010014235996
apache_activemq,5437,0.008606998622649978,0.8324612487018549,0.05952070272757879
apache_activemq,5441,0.009430145839157682,0.8320028209882941,0.06096208700806884
apache_activemq,5444,0.007931628162816142,0.8325736901992129,0.059561426020324645
apache_activemq,5466,0.002560624449418827,0.7476715864870479,0.041616717356872494
apache_activemq,5478,0.005257952568310097,0.7499433128488995,0.04781526972308666
apache_activemq,5481,0.0035926209559403142,0.7798536928318073,0.04682959159168809
apache_activemq,5486,0.002693099850782366,0.7498322334578358,0.04402001573585079
apache_activemq,5499,0.003200064323525324,0.7935963535744218,0.04717949486630665
apache_activemq,5509,0.0022410661438425133,0.7475875272021583,0.045895842255818255
apache_activemq,5528,0.0016555046843565273,0.7477958364866734,0.04404671176303056
apache_activemq,5564,0.007594095067791291,0.8760011246421773,0.05865339563269653
apache_activemq,5583,0.004845716871553733,0.7486035913430668,0.04453822373444071
apache_activemq,5585,0.016201441949630163,0.6351082884028804,0.05787731196088467
apache_activemq,5594,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5599,0.007931628162816142,0.8325736901992129,0.059561426020324645
apache_activemq,5630,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5684,0.0030850306274470525,0.7479469796470839,0.04710768363390723
apache_activemq,5706,0.004974990189584942,0.7475915689696608,0.04356175198527673
apache_activemq,5717,0.003520558010767274,0.7494087137118767,0.04176324790313491
apache_activemq,5729,0.0030726020260307594,0.7482998170316801,0.04216565053019665
apache_activemq,5760,0.004974990189584942,0.7475915689696608,0.04356175198527673
apache_activemq,5770,0.0027870650497538296,0.747651058571436,0.04193034460304512
apache_activemq,5774,0.003520558010767274,0.7494087137118767,0.04176324790313491
apache_activemq,5784,0.004688538039655388,0.7479610942483945,0.04771741215939478
apache_activemq,5790,0.0022213801513429883,0.7496368214220752,0.042103171479034536
apache_activemq,5811,0.002560624449418827,0.7476715864870479,0.041616717356872494
apache_activemq,5817,0.0034099109386864297,0.7494150405757727,0.04206928947539426
apache_activemq,5859,0.016039481410898008,0.6349624035402622,0.057836677059851044
apache_activemq,5863,0.0022500522681244096,0.7369902280407448,0.04037833673543911
apache_activemq,5871,0.0008000505762884553,0.7032071873435748,0.033584572233376964
apache_activemq,5909,0.0022039159143673326,0.7493886009715158,0.04207308848462008
apache_activemq,5918,0.0017552803253583825,0.7495584797585672,0.04348458516645095
apache_activemq,5936,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5985,0.0037963480327889874,0.7476774755452196,0.041923383974451646
apache_activemq,5988,0.005562057151985678,0.7935893664613055,0.04708816530587848
apache_activemq,6003,0.0027870650497538296,0.747651058571436,0.04193034460304512
apache_camel,18167,0.003801719243322667,0.7599943374975562,0.06548717497840252
apache_camel,18376,0.0031845259820075865,0.7599986906356375,0.06553127916775835
apache_camel,18682,0.004179081873288079,0.8575561120351672,0.07670172206596725
