project,model,explainer,test_idx,dist_orig,dist_flip,dist_orig_norm,dist_flip_norm,delta,delta_norm,num_feats_changed
apache_activemq,RandomForest,LIME,4914,4.8000370710520235,4.806151241214979,0.14816151700782385,0.1483502415349844,0.006114170162955901,0.00018872452716057401,1
apache_activemq,RandomForest,LIME,4911,6.191553403639465,6.518379441890118,0.19111309586555394,0.20120115162597768,0.32682603825065293,0.010088055760423726,2
apache_activemq,RandomForest,LIME,4919,1.9633114231423223,2.8985085215368818,0.06060103172240758,0.08946752144913896,0.9351970983945594,0.028866489726731382,2
apache_activemq,RandomForest,LIME,4971,1.769808819418932,1.7708663350990406,0.054628236327654976,0.05466087839376929,0.0010575156801084784,3.264206611431284e-05,1
apache_activemq,RandomForest,LIME,4993,1.1361931832272176,2.4583962501269196,0.03507058448696477,0.07588268849459523,1.322203066899702,0.040812104007630454,2
apache_activemq,RandomForest,LIME,5027,4.720380318023189,4.317214374667624,0.14570277237856974,0.13325835228571428,-0.40316594335556477,-0.012444420092855455,1
apache_activemq,RandomForest,LIME,4961,17.09076311846937,17.067964049562907,0.527536215444021,0.5268324824133077,-0.022799068906461883,-0.0007037330307132308,1
apache_activemq,RandomForest,LIME,4905,2.1723126359228004,2.7608202338531576,0.06705221872027045,0.08521753227708467,0.5885075979303571,0.018165313556814222,3
apache_activemq,RandomForest,LIME,5049,3.049560273954428,3.0690938892320188,0.0941299972703869,0.09473293637884274,0.019533615277590677,0.0006029391084558296,1
apache_activemq,RandomForest,LIME,4965,3.31315710059009,3.4053037179933567,0.10226637312221513,0.10511063920173008,0.0921466174032668,0.0028442660795149474,2
apache_activemq,RandomForest,LIME,5051,3.046074944127957,3.05271652375684,0.09402241648575572,0.094227420426054,0.006641579628882788,0.00020500394029829118,1
apache_activemq,RandomForest,LIME,5057,1.3281272885796558,1.3276022403981858,0.04099496544353187,0.04097875891555775,-0.0005250481814700336,-1.6206527974116192e-05,1
apache_activemq,RandomForest,LIME,5052,1.7758288422673474,2.808955640178905,0.05481405483372903,0.08670331555697249,1.0331267979115577,0.031889260723243454,2
apache_activemq,RandomForest,LIME,4974,2.3283147238529556,2.3393254624663866,0.07186749528209374,0.07220736093566983,0.011010738613431048,0.00033986565357609213,1
apache_activemq,RandomForest,LIME,4987,1.9248426941472863,1.9626134492165255,0.05941362730012918,0.06057948753969665,0.037770755069239215,0.001165860239567467,2
apache_activemq,RandomForest,LIME,4978,4.66535079418263,2.02457285393165,0.14400419013602708,0.06249197264337577,-2.64077794025098,-0.08151221749265133,2
apache_activemq,RandomForest,LIME,5060,4.388828455470537,4.436526492145856,0.135468845807706,0.13694112891041987,0.047698036675319244,0.00147228310271388,1
apache_activemq,RandomForest,LIME,5077,1.8485524450918192,1.8380201129808624,0.0570587956882797,0.05673369688589742,-0.010532332110956721,-0.00032509880238228075,1
apache_activemq,RandomForest,LIME,5002,3.037160888705511,3.054102490404705,0.0937472686161598,0.09427020070421235,0.01694160169919412,0.0005229320880525595,1
