feature,value,importance,min,max,rule,importance_ratio
nd,4.0,0.09420384730753632,1.0,33.0,3.4887902283506924 < nd <= 4.503916092667653,0.27294818936523746
la,103.0,0.07980919166393091,0.0,9389.0,77.73891199130318 < la <= 259.02565808320827,0.23124081427649334
age,26.3333333333333,0.0777580397095788,0.0,1019.0,21.355116215938807 < age <= 151.08747456179282,0.22529776388041267
nuc,25.3333333333333,-0.04501387610619738,0.0,1520.0,23.10887044038192 < nuc <= 48.480082529455615,0.1304241422262462
aexp,4390.0,-0.023757401426618713,0.0,4144.0,aexp > 4071.104162527291,0.06883518973752065
